                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.74548,                 0.6905,                0.86876,                0.82926,                0.77807,                0.79964,                0.46332,                 1.3701,                 1.0158,                 1.2219,              0.0012742,              0.0012742,              0.0012742
                    121,                0.76846,                 0.6551,                0.89096,                0.82926,                0.77807,                0.79964,                0.46332,                 1.3701,                 1.0158,                 1.2219,              0.0012709,              0.0012709,              0.0012709
                    122,                0.75695,                0.63566,                0.89601,                0.86626,                0.78764,                0.80861,                 0.4614,                 1.4023,                 1.0215,                 1.2471,              0.0012676,              0.0012676,              0.0012676
                    123,                0.77918,                0.70472,                0.89641,                0.79431,                0.84826,                0.82577,                0.47328,                 1.4353,                 1.0207,                 1.2457,              0.0012643,              0.0012643,              0.0012643
                    124,                0.82107,                0.66519,                0.91789,                0.82945,                0.80609,                0.82901,                0.47176,                  1.428,                 1.0587,                 1.2379,               0.001261,               0.001261,               0.001261
                    125,                0.73784,                0.59468,                0.88099,                0.82945,                0.80609,                0.82901,                0.47176,                  1.428,                 1.0587,                 1.2379,              0.0012577,              0.0012577,              0.0012577
                    126,                0.75201,                0.66319,                0.91865,                0.89972,                0.74866,                0.82443,                0.47877,                 1.4501,                   1.06,                 1.2751,              0.0012544,              0.0012544,              0.0012544
                    127,                0.66607,                0.60865,                0.87459,                 0.9016,                0.77052,                0.82948,                0.47915,                 1.4598,                   1.08,                 1.2483,              0.0012511,              0.0012511,              0.0012511
                    128,                0.72307,                0.65286,                0.88081,                0.87306,                 0.7846,                0.82427,                0.48887,                 1.4559,                 1.0519,                 1.2606,              0.0012478,              0.0012478,              0.0012478
                    129,                0.73573,                0.61439,                0.89836,                0.87306,                 0.7846,                0.82427,                0.48887,                 1.4559,                 1.0519,                 1.2606,              0.0012445,              0.0012445,              0.0012445
                    130,                0.80094,                0.62982,                0.91128,                0.87336,                0.80315,                0.82332,                0.48231,                 1.4179,                 1.0737,                 1.2161,              0.0012412,              0.0012412,              0.0012412
                    131,                0.74247,                0.58658,                0.85788,                0.86993,                0.76664,                0.80675,                0.49369,                 1.3745,                 1.0595,                 1.1771,              0.0012379,              0.0012379,              0.0012379
                    132,                0.70838,                 0.5975,                0.87834,                0.83867,                0.79612,                0.80259,                0.49907,                  1.346,                 1.0702,                 1.1631,              0.0012346,              0.0012346,              0.0012346
                    133,                0.71795,                0.62313,                0.91097,                0.83867,                0.79612,                0.80259,                0.49907,                  1.346,                 1.0702,                 1.1631,              0.0012313,              0.0012313,              0.0012313
                    134,                0.68991,                0.58424,                0.90215,                0.91541,                0.73333,                0.82339,                0.51632,                 1.2961,                 1.0441,                 1.1401,               0.001228,               0.001228,               0.001228
                    135,                0.69337,                0.58286,                0.90193,                0.87689,                0.76648,                0.83655,                0.50585,                 1.3019,                 1.0111,                 1.1289,              0.0012247,              0.0012247,              0.0012247
                    136,                0.64717,                0.59576,                0.92016,                 0.8103,                0.80054,                0.84211,                0.49616,                 1.3154,                 1.0517,                 1.1077,              0.0012214,              0.0012214,              0.0012214
                    137,                0.71237,                0.58389,                0.88409,                 0.8103,                0.80054,                0.84211,                0.49616,                 1.3154,                 1.0517,                 1.1077,              0.0012181,              0.0012181,              0.0012181
                    138,                0.68105,                0.56802,                0.85777,                0.90118,                0.71173,                0.83862,                0.49759,                 1.3542,                 1.0722,                 1.1198,              0.0012148,              0.0012148,              0.0012148
                    139,                0.76596,                0.56985,                 0.8703,                0.82976,                0.74891,                0.83524,                0.50583,                 1.3321,                 1.0618,                 1.1224,              0.0012115,              0.0012115,              0.0012115
                    140,                0.76547,                0.66666,                0.89225,                0.83086,                0.80035,                0.83789,                0.50499,                 1.2994,                  1.035,                 1.1093,              0.0012082,              0.0012082,              0.0012082
                    141,                0.71753,                0.56012,                0.87621,                0.83086,                0.80035,                0.83789,                0.50499,                 1.2994,                  1.035,                 1.1093,              0.0012049,              0.0012049,              0.0012049
                    142,                0.76015,                0.60474,                0.88471,                0.86719,                0.75851,                0.84782,                 0.5151,                 1.3149,                0.96758,                 1.1217,              0.0012016,              0.0012016,              0.0012016
                    143,                0.75839,                0.59388,                0.86285,                0.83826,                0.79144,                0.85034,                0.50959,                 1.3333,                0.95363,                 1.1417,              0.0011983,              0.0011983,              0.0011983
                    144,                0.79046,                0.57347,                0.88385,                0.84387,                0.75067,                0.83542,                0.51206,                 1.3674,                0.98989,                 1.1534,               0.001195,               0.001195,               0.001195
                    145,                0.77005,                 0.6171,                0.92866,                0.84387,                0.75067,                0.83542,                0.51206,                 1.3674,                0.98989,                 1.1534,              0.0011917,              0.0011917,              0.0011917
                    146,                0.76009,                0.65938,                0.87033,                0.85748,                0.74447,                0.81925,                0.50098,                  1.364,                 1.0745,                 1.1738,              0.0011884,              0.0011884,              0.0011884
                    147,                0.70318,                0.57742,                0.86727,                0.84199,                0.75067,                 0.8067,                 0.4737,                 1.3591,                 1.0928,                 1.1663,              0.0011851,              0.0011851,              0.0011851
                    148,                 0.7808,                0.58449,                0.86283,                0.80834,                0.81389,                0.79829,                0.45767,                 1.3636,                 1.0944,                 1.1635,              0.0011818,              0.0011818,              0.0011818
                    149,                0.65343,                0.57848,                0.86314,                0.80834,                0.81389,                0.79829,                0.45767,                 1.3636,                 1.0944,                 1.1635,              0.0011785,              0.0011785,              0.0011785
                    150,                0.70505,                0.57831,                0.85077,                0.82738,                0.82082,                0.78863,                0.45303,                 1.3683,                 1.0828,                 1.1583,              0.0011752,              0.0011752,              0.0011752
                    151,                0.69918,                0.55375,                0.89106,                0.82269,                0.82182,                0.80288,                0.47027,                 1.3601,                 1.0943,                 1.1589,              0.0011719,              0.0011719,              0.0011719
